date,compound,unix
2022-02-14 00:00:00,1190.4194,1644789600000
2022-02-15 00:00:00,2146.6648,1644876000000
2022-02-16 00:00:00,778.9341000000001,1644962400000
2022-02-17 00:00:00,4348.0919,1645048800000
2022-02-18 00:00:00,4417.0474,1645135200000
2022-02-19 00:00:00,0.0,1645221600000
2022-02-20 00:00:00,0.0,1645308000000
2022-02-21 00:00:00,0.0,1645394400000
2022-02-22 00:00:00,0.0,1645480800000
2022-02-23 00:00:00,0.0,1645567200000
2022-02-24 00:00:00,0.0,1645653600000
2022-02-25 00:00:00,0.0,1645740000000
2022-02-26 00:00:00,0.0,1645826400000
2022-02-27 00:00:00,0.0,1645912800000
2022-02-28 00:00:00,0.0,1645999200000
2022-03-01 00:00:00,0.0,1646085600000
2022-03-02 00:00:00,1940.112,1646172000000
2022-03-03 00:00:00,0.0,1646258400000
2022-03-04 00:00:00,0.0,1646344800000
2022-03-05 00:00:00,0.0,1646431200000
2022-03-06 00:00:00,1971.4365,1646517600000
2022-03-07 00:00:00,5540.1436,1646604000000
2022-03-08 00:00:00,1027.1235,1646690400000
2022-03-09 00:00:00,3734.9296,1646776800000
2022-03-10 00:00:00,8266.7351,1646863200000
2022-03-11 00:00:00,0.0,1646949600000
2022-03-12 00:00:00,0.0,1647036000000
2022-03-13 00:00:00,0.0,1647122400000
2022-03-14 00:00:00,780.7099,1647208800000
2022-03-15 00:00:00,7659.4661,1647295200000
2022-03-16 00:00:00,9722.209,1647381600000
2022-03-17 00:00:00,4931.7112,1647468000000
2022-03-18 00:00:00,4289.7353,1647554400000
2022-03-19 00:00:00,5216.5755,1647640800000
2022-03-20 00:00:00,4975.2578,1647727200000
2022-03-21 00:00:00,6926.6362,1647813600000
2022-03-22 00:00:00,12.8985,1647900000000
2022-03-23 00:00:00,5768.5319,1647986400000
2022-03-24 00:00:00,11278.7549,1648072800000
2022-03-25 00:00:00,0.0,1648159200000
2022-03-26 00:00:00,0.0,1648245600000
2022-03-27 00:00:00,0.0,1648332000000
2022-03-28 00:00:00,0.0,1648414800000
2022-03-29 00:00:00,0.0,1648501200000
2022-03-30 00:00:00,0.0,1648587600000
2022-03-31 00:00:00,0.0,1648674000000
2022-04-01 00:00:00,0.0,1648760400000
2022-04-02 00:00:00,0.0,1648846800000
2022-04-03 00:00:00,0.0,1648933200000
2022-04-04 00:00:00,0.0,1649019600000
2022-04-05 00:00:00,0.0,1649106000000
2022-04-06 00:00:00,0.0,1649192400000
2022-04-07 00:00:00,0.0,1649278800000
2022-04-08 00:00:00,0.0,1649365200000
2022-04-09 00:00:00,0.0,1649451600000
2022-04-10 00:00:00,0.0,1649538000000
2022-04-11 00:00:00,0.0,1649624400000
2022-04-12 00:00:00,0.0,1649710800000
2022-04-13 00:00:00,4286.5588,1649797200000
2022-04-14 00:00:00,6454.5296,1649883600000
2022-04-15 00:00:00,10735.3436,1649970000000
2022-04-16 00:00:00,12621.4503,1650056400000
2022-04-17 00:00:00,1719.8709,1650142800000
2022-04-18 00:00:00,12783.4757,1650229200000
2022-04-19 00:00:00,15172.4758,1650315600000
2022-04-20 00:00:00,2358.3893,1650402000000
2022-04-21 00:00:00,6853.47,1650488400000
2022-04-22 00:00:00,9633.411,1650574800000
2022-04-23 00:00:00,0.0,1650661200000
2022-04-24 00:00:00,0.0,1650747600000
2022-04-25 00:00:00,0.0,1650834000000
2022-04-26 00:00:00,0.0,1650920400000
2022-04-27 00:00:00,448.3312,1651006800000
2022-04-28 00:00:00,6198.1943,1651093200000
2022-04-29 00:00:00,5215.7849,1651179600000
2022-04-30 00:00:00,9430.0179,1651266000000
2022-05-01 00:00:00,11275.6195,1651352400000
2022-05-02 00:00:00,8986.5263,1651438800000
2022-05-03 00:00:00,0.0,1651525200000
2022-05-04 00:00:00,0.0,1651611600000
2022-05-05 00:00:00,0.0,1651698000000
2022-05-06 00:00:00,0.0,1651784400000
2022-05-07 00:00:00,0.0,1651870800000
2022-05-08 00:00:00,0.0,1651957200000
2022-05-09 00:00:00,0.0,1652043600000
2022-05-10 00:00:00,2663.4007,1652130000000
2022-05-11 00:00:00,2571.1344,1652216400000
2022-05-12 00:00:00,6497.0909,1652302800000
2022-05-13 00:00:00,7512.3967,1652389200000
2022-05-14 00:00:00,0.0,1652475600000
2022-05-15 00:00:00,0.0,1652562000000
2022-05-16 00:00:00,0.0,1652648400000
2022-05-17 00:00:00,0.0,1652734800000
2022-05-18 00:00:00,0.0,1652821200000
