,date,text
91,2022-07-16 21:35:02+00:00,"We are a little more than a month away from #BitBlockBoom in Austin, Texas! Don’t forget to get your tickets! 

Can’t wait to see some of my favorite #Bitcoin voices there! @GaryLeland @kailybuemi @bitblockboom 

https://t.co/1zrsLFe6KJ"
92,2022-07-16 23:04:58+00:00,...@binance charging $0 in fee for a $800+ transfer!! 😍😍 @cz_binance is amazing #BNB #BTC https://t.co/05j9VZGa6J
93,2022-07-10 06:18:43+00:00,"I feel like our star is rising 🫡💫 @MWietersheim @marce_m_romero @ArkWeb3 @ErichGarciaCruz @edwinrivas @Excellion Ily,…"
94,2022-07-10 06:20:35+00:00,Had a great time in this #Bitcoin panel meetup in 🇵🇦 organized by @ToneVays with @Excellion as special guest. It’s a pr…
95,2022-07-10 12:07:37+00:00,Everybody's got to stand for something. #Bitcoin
96,2022-07-10 12:48:35+00:00,The scariest short story in the history of crypto        $btc #bitcoin https://t.co/AWLbVs7EX4
97,2022-07-10 14:56:03+00:00,#bitcoin is fuck you money! @BVBTC https://t.co/838aAFyZtA
98,2022-07-10 15:08:54+00:00,"“If you don’t believe it or don’t get it, I don’t have the time to try to convince you, sorry.” -Satoshi Nakamoto

Feeling spoiled by one of my favorite #Bitcoin brands @Coinkite! Thank you for my very own BlockClock! 🙏🏼🧡
#DontTrustVerify https://t.co/ofdwlkwqvp"
99,2022-07-10 15:22:09+00:00,"ICYMI: CEO of @JAN3com, @Excellion, explains that a 51% attack on #Bitcoin is nothing more than fear mongering. #BTC #ProofOfWork…"
100,2022-07-10 15:22:26+00:00,"""Governments and central bankers have done more to drive #Bitcoin adoption than any of us."" -@Excellion"
101,2022-07-10 15:25:49+00:00,Happy to discuss #Bitcoin with her!
102,2022-07-10 15:38:39+00:00,Had a great time in this #Bitcoin panel meetup in 🇵🇦 organized by @ToneVays with @Excellion as special guest. It’s a pr…
103,2022-07-10 16:58:01+00:00,"Join me as we cover #Bitcoin and altcoin requests live on my very own show @The_O_Show_ NOW

Comment your request in the chat and also let me know what you had for breakfast 

https://t.co/YAAmHLzVye https://t.co/9JDM1Vfsus"
104,2022-07-10 17:07:50+00:00,"There is no second best. There are 19,999 second bests. 

#Bitcoin is king."
105,2022-07-10 17:09:54+00:00,"Interview FOUND, filmed early 2019:
Debate w/ myself &amp; @saifedean vs @Mashinsky Moderated by @PeterMcCormack.
* #Bitcoin Law Review might be back to cover @CelsiusNetwork w/ @SimonDixonTwitt @FJasonSeibert, @BitcoinKhaleesi &amp; @GordonEinstein 
https://t.co/vRmofen8mQ"
106,2022-07-10 17:13:26+00:00,"Fun Fact: When I made this video, every black background is actually a starry night background. This was done accidentally.…"
107,2022-07-10 18:42:26+00:00,"Q: how is @binance doing now #bitcoin price is $20k?

Me: when @binance started, #bitcoin price was $2k."
108,2022-07-10 19:11:25+00:00,"I think you will love this thought-provoking conversation I had with @johnkvallis about #Bitcoin and life, brought to you by @Okcoin!

WATCH: https://t.co/sNkZ4AfzZl"
109,2022-07-17 01:06:55+00:00,"I still can't believe a few years back, I sold my house to buy #bitcoin at $600. It crashed so many times. Now it's only $21,000.

Not financial advice. https://t.co/l9Z0BFdDpF"
110,2022-07-17 02:17:21+00:00,"Celebrating the Great American #Bitcoin Bike Tour with @CaptainSiddh and @SwanBitcoin! 

Full story on @HardMoneyShow: https://t.co/5JVPQTusVP https://t.co/6q6UHiVCMH"
111,2022-07-17 03:39:12+00:00,"Amazing night talking #Bitcoin on the water with @iTrustCapital 

https://t.co/fi1bmeRyHx https://t.co/bF4IXo8rj1"
112,2022-07-17 05:52:33+00:00,I think @WarrenBuffett is a #Bitcoin and #TRX hodler😄 https://t.co/kifIhHlm8M
113,2022-07-17 08:21:20+00:00,"🧵THREAD: As energy grids adopt a greater percentage of intermittent renewables, more power must be absorbed by demand response…"
114,2022-07-17 11:59:46+00:00,"In order to understand that #Cardano might be a security, I really recomend the following 2017 episode of Crypto Scam (along with many others on my #Bitcoin Law Review Podcast)
Is #Ethereum a security: https://t.co/gxdAYcbHfn https://t.co/zZoTxidCcO"
115,2022-07-17 12:00:22+00:00,"In order to understand that #Cardano might be a security, I really recomend the following 2017 episode of Crypto Scam (along with many others on my #Bitcoin Law Review Podcast) Is #Ethereum a security: https://t.co/gxdAYccf4V"
116,2022-07-17 15:16:33+00:00,#Bitcoin is better.
117,2022-07-17 15:36:06+00:00,"Some #SundayMorning reading.

#defi #crypto #bitcoin #Decentralization #investing

https://t.co/wEmmBSiLjL https://t.co/4WucBgzweO"
118,2022-07-17 16:21:07+00:00,"""@nic__carter's not the enemy. The enemy is the system, the man.""

Don't miss my latest episode with @aubreystrobel talking about #Bitcoin, maximalism, cancel culture, media/politics and her new show, @theaubservation!

VIDEO: https://t.co/Q9NVK3d1ES

POD: https://t.co/3g6UtTSXgD https://t.co/NKlUF6qt5s"
119,2022-07-17 17:06:55+00:00,#bitcoin is the savings unit of account.
120,2022-07-17 19:00:48+00:00,".@GoingParabolic and @TheEricNorris sending me #Bitcoin: Hard Money You Can’t F With almost called the top. 
Re-reading it to mark a bottom. https://t.co/1Rqzey3oBc"
121,2022-07-17 19:48:32+00:00,"🧵THREAD: As energy grids adopt a greater percentage of intermittent renewables, more power must be absorbed by demand response…"
122,2022-07-17 20:11:23+00:00,"""@nic__carter's not the enemy. The enemy is the system, the man."" Don't miss my latest episode with @aubreystrobel talking…"
123,2022-07-07 17:54:03+00:00,"Meet Johan, an IT professional from the #Netherlands who came for #Bitcoin and stayed for 11 more certificates! Read his…"
124,2022-07-07 18:00:51+00:00,the Future of #Bitcoin with @FossGregfoss! https://t.co/NXHDG1WfLr
125,2022-07-07 18:54:06+00:00,"Daddy Gary is blocking #Bitcoin regulation until he can control the ""decentralized"" crypto markets

TLDR: Even though we can and should have properly regulated bitcoin and crypto to generate tax revenue, innovation and jobs we won't and you can suffer

https://t.co/5ZLhq7lnUv"
126,2022-07-07 19:14:01+00:00,"So @PeterSchiff hates #Bitcoin but accepts #Bitcoin (and sh*tcoins) for gold? 🤔 At least those earnings can’t be frozen by Puerto Rico. 

https://t.co/2euS3MInZk https://t.co/YXp7kexy5A"
127,2022-07-07 20:37:42+00:00,Isn’t it fun how #bitcoin could drop to 10k but could also pump to 40k and you just don’t know which way it’s going first… 🤣
128,2022-07-07 21:48:27+00:00,"""Bitcoin doesn't need anybody. Bitcoin will continue ticking away block after block because it is actually decentralized."" -…"
129,2022-07-07 21:48:42+00:00,@criptobastardo and @Excellion discuss #hyperbitcoinization live on stage from @BlockSummitLA Panama. #bitcoin https://t.co/2R…
130,2022-07-07 22:41:22+00:00,Where should I do my interview with @saylor when #Bitcoin hits $100k. Comment below.
131,2022-07-07 22:55:29+00:00,"HARD MONEY w/ @natbrunell goes live at 7PM EST! Updates on #Bitcoin price action, El Salvador, #Voyager, #FTX/#Blockfi,…"
132,2022-07-07 23:03:47+00:00,"Watch now or watch later, we're streaming @HardMoneyShow show LIVE!

-#Bitcoin headlines
- Updates on FTX, Voyager, Blockfi, Crypto Contagion
- Interview w/ @LynAldenContact 
- #BTC motorcycle roadtrip with @CaptainSiddh 
- Macro with @edstromandrew 

https://t.co/xu8cvVWmN6"
133,2022-07-07 23:34:32+00:00,"Big #bitcoin mining companies are failing, sell pressure on bitcoin will continue. stack sats. Hodl."
134,2022-07-07 23:41:34+00:00,"@BVBTC @HardMoneyShow @natbrunell @LynAldenContact @edstromandrew @CaptainSiddh Only a few episodes in, and already the best…"
135,2022-07-14 01:55:35+00:00,If any #Bitcoin holders who were customers of #Celsius or #Voyager and have no access to their coins want to share their…
136,2022-07-14 02:28:22+00:00,"Awesome #Bitcoin event in Denver July 23 by @bitcoindayio 
* Tried my best to make it 😥, Speakers:
@MikeJarmuz of @ltngventures, @natbrunell, @miketwenty1, @_MattHill_ of @start9labs, @camilacampton of @SwanBitcoin &amp; return of @Andy_Hoffman_CG to $BTC 
https://t.co/eRgwazVWJg"
137,2022-07-14 02:38:49+00:00,If any #Bitcoin holders who were customers of #Celsius or #Voyager and have no access to their coins want to share their…
138,2022-07-14 03:59:32+00:00,Last chance to buy #Bitcoin @ $20k
