,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix,mean_7_days,mean_14_days,mean_56_days,signal,std_7_days,exp_mean_7_days,exp_std_7_days,momentum_7_days,rate_of_change_7_days,strength_index_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,momentum_14_days,rate_of_change_14_days,strength_index_14_days,std_56_days,exp_mean_56_days,exp_std_56_days,momentum_56_days,rate_of_change_56_days,strength_index_56_days
296,2021-11-29,57274.89,58865.97,56666.67,57776.25,40125.28009,2313371348.113543,1349625,19520.25038,1125240984.5522516,1638136800000,56734.08714285714,57647.35142857143,60079.26392857143,0.0,1837.0072723562791,57023.97977489543,2087.6838915961457,1529.0699999999997,0.4083677680384934,49.433555895311144,1902.786238549323,58039.843779549694,3051.2793841110697,-5830.489999999998,-3.8006376077338824,46.99384341123232,3681.8715199178346,57961.933367179576,6352.667462142768,8551.309999999998,12.247943007449297,52.22478778169005
297,2021-11-30,57776.25,59176.99,55875.55,56950.56,49161.05194,2823644073.021905,1587472,23867.80287,1371720422.255628,1638223200000,56649.700000000004,57425.32928571429,60177.09553571429,0.0,1807.071402204696,57005.624831171575,1808.3133542833195,-590.7099999999991,-0.3285537596592464,45.8534828618722,1776.9404113788605,57894.6059422764,2866.459483092658,-3108.310000000005,-5.624852617960739,45.26762613481328,3518.154036599468,57926.44573620821,6243.043888771162,5478.57,2.956810991593596,51.70181273044585
298,2021-12-01,56950.56,59053.55,56458.01,57184.07,44956.63656,2584928714.0757422,1442301,21501.29463,1236414404.9088528,1638309600000,56656.24,57199.557857142856,60210.47178571428,0.0,1809.215945448759,57050.23612337869,1568.2676673109409,45.779999999998836,-3.012685132858756,47.1171143189661,1565.7044043111098,57799.86781663955,2680.2745803856005,-3160.800000000003,0.5140475873248065,45.873162581639264,3479.8465919679425,57900.396865452734,6134.084965757964,1869.0699999999997,6.319301101678117,51.84067953244482
299,2021-12-02,57184.07,57375.47,55777.77,56480.34,37574.05976,2127110102.1073096,1307890,18375.47518,1040366894.5501271,1638396000000,56301.951428571425,57170.18071428571,60258.598928571424,0.0,1499.0498722125035,56907.762092534016,1384.0677658184318,-2480.020000000004,5.125605543481028,43.54416207868344,1575.7528123380578,57623.93077442094,2538.2472592714057,-411.2800000000061,-2.7077335861630862,44.283082093920065,3407.247865422431,57850.56920260327,6031.271771271025,2695.1199999999953,4.687382707001457,51.38731302673295
300,2021-12-03,56484.26,57600.0,51680.0,53601.05,58927.69027,3246198505.9468517,1865063,27287.25751,1505556556.1578631,1638482400000,56284.02571428572,56852.23857142857,60252.342142857146,0.0,1535.2918718041662,56081.08406940052,1956.6861332479791,-125.47999999999593,-2.046708550624862,31.971413905482848,1814.9889725870953,57087.54667116482,2756.3794984641427,-4451.189999999995,-10.227289665906348,38.415830877273834,3419.3406501403465,57701.460071616086,5976.8199873299845,-350.3799999999974,-2.454371014083417,49.58097714626452
301,2021-12-04,53601.05,53859.1,42000.3,49152.47,114203.373748,5495712061.978532,3362771,52876.55238,2544632557.496252,1638568800000,55488.51714285714,56098.307142857135,60148.819821428566,0.0,3112.582552649247,54348.93055205039,3656.871722507255,-5568.559999999998,-14.181452671747188,21.61604481508482,2572.0463172477635,56029.53644834284,3797.4083665201138,-10555.04,-16.153571644238795,31.476678538781968,3661.9497829672805,57401.48930751337,6081.808148315749,-5797.25,-10.07433359556523,46.982946994523026
302,2021-12-05,49152.46,49699.05,47727.21,49396.33,45580.82012,2231486105.843912,1371839,22420.90324,1097785758.5909762,1638655200000,54363.01,55439.32928571429,60054.843571428566,0.0,3723.468555621138,53110.7804140378,3923.6575119481354,-7878.549999999996,-14.504091213950366,23.20676092751218,3018.766112759537,55145.10892189713,4239.467727035891,-9225.689999999995,-12.17989950785088,32.199667823176384,3867.1731310660675,57120.60092273783,6156.267796412103,-5262.669999999998,-14.050513864734338,47.13755105150445
303,2021-12-06,49396.32,50891.11,47100.0,50441.92,58571.21575,2851528919.1795363,1741956,28820.34753,1403464676.8850937,1638741600000,53315.24857142857,55024.66785714286,59929.31803571428,0.0,3633.763428372894,52443.565310528356,3620.0044452361126,-7334.330000000002,-11.42857945558393,30.284025773617387,3286.1316321969807,54518.01706564418,4281.283035962439,-5805.260000000002,-12.337840301404537,35.3493856309656,4061.7462187410806,56886.256731454945,6173.122951658973,-7029.43,-9.920204554071093,47.80206607646726
304,2021-12-07,50441.91,51936.33,50039.74,50588.95,38253.46877,1950573500.2086656,1212350,18679.11099,952551067.6259856,1638828000000,52406.44714285714,54528.07357142858,59832.74696428572,0.0,3358.104484728928,51979.91148289626,3252.804357661173,-6361.610000000001,-11.533142009654092,31.322388218373376,3399.914235704723,53994.141456891615,4219.785075522783,-6952.32,-11.46226112122012,35.80103052070707,4218.217145918102,56665.29449747143,6175.546381000918,-5407.980000000003,-11.815242212421781,47.89584381748231
305,2021-12-08,50588.95,51200.0,48600.0,50471.19,38425.92466,1925458787.1147523,1118225,18126.84362,908410692.2460092,1638914400000,51447.46428571428,54051.85214285714,59709.6075,0.0,2650.257773122201,51602.7311121722,2904.045411856199,-6712.879999999997,-10.63936583951158,30.892448436822704,3472.3354715814285,53524.41459597273,4120.300701753671,-6667.0999999999985,-14.398097297913376,35.58659957591206,4388.713351129288,56447.95360335704,6174.286105595461,-6895.809999999998,-11.991276408533592,47.82577486159673
306,2021-12-09,50471.19,50797.76,47320.0,47545.59,37692.68665,1841474998.89511,1130599,18097.0596,884082539.7047912,1639000800000,50171.07142857143,53236.51142857142,59534.56553571428,0.0,1854.4420315233326,50588.445834129154,3150.527099388977,-8934.75,-11.29727869136893,22.10001235414981,3569.8906265983396,52727.23798317637,4377.411109367646,-11414.770000000004,-11.504446685836593,30.671534529278105,4671.021484686306,56135.5845676641,6286.192328179219,-9802.350000000006,-22.90623588307383,46.119098723393215
307,2021-12-10,47535.9,50125.0,46852.0,47140.54,44233.57391,2135023722.8531516,1215231,21143.96129,1020995576.3025668,1639087200000,49248.14142857143,52766.083571428564,59275.06767857143,0.0,1419.5363523866024,49726.46937559687,3169.3655052252607,-6460.510000000002,-4.093242923499064,21.128675982289167,3917.3780910894734,51982.344918752846,4526.686502620915,-6585.989999999998,-13.852973893218016,30.052657961967967,4945.677175108254,55819.96370355445,6396.786106785336,-14531.879999999997,-22.562466355551166,45.88825944228747
