,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix
167,2021-05-13 00:00:00,49537.15,51367.19,46000.0,49670.97,147332.002121,7303694688.601401,3570506,71742.003359,3558735468.0045953,1620853200000
168,2021-05-14 00:00:00,49671.92,51483.0,48799.75,49841.45,80082.204306,4015904915.407911,2095860,37184.128863,1864162620.5027146,1620939600000
169,2021-05-15 00:00:00,49844.16,50700.0,46555.0,46762.99,89437.449359,4350775846.517358,2286791,42257.918463,2056302844.861021,1621026000000
170,2021-05-16 00:00:00,46762.99,49795.89,43825.39,46431.5,114269.812775,5367497608.115901,2661295,53797.590877,2528671396.1080194,1621112400000
171,2021-05-17 00:00:00,46426.83,46686.0,42001.0,43538.04,166657.172736,7346755531.933858,3216821,80610.146581,3555755756.3229218,1621198800000
172,2021-05-18 00:00:00,43538.02,45799.29,42250.02,42849.78,116979.860784,5146670282.547902,2561165,55703.00041,2450848779.21598,1621285200000
173,2021-05-19 00:00:00,42849.78,43584.9,30000.0,36690.09,354347.243161,13477694934.871798,6331062,168271.347308,6410032516.523526,1621371600000
174,2021-05-20 00:00:00,36671.23,42451.67,34850.0,40526.64,203017.596923,8019897067.17622,4269898,100167.126413,3959645913.2324944,1621458000000
175,2021-05-21 00:00:00,40525.39,42200.0,33488.0,37252.01,202100.888258,7713346610.274129,3993336,94002.431409,3591749386.78765,1621544400000
176,2021-05-22 00:00:00,37263.35,38829.0,35200.62,37449.73,126542.243689,4730567647.674401,2716691,63310.452012,2367081500.530058,1621630800000
177,2021-05-23 00:00:00,37458.51,38270.64,31111.01,34655.25,217136.046593,7431242463.203842,4082004,104637.659409,3584259319.7463818,1621717200000
178,2021-05-24 00:00:00,34681.44,39920.0,34031.0,38796.29,161630.893971,5996773032.151345,3510578,81584.825314,3031032098.518881,1621803600000
179,2021-05-25 00:00:00,38810.99,39791.77,36419.62,38324.72,111996.228404,4253519579.378729,2508310,54153.536814,2057463609.950911,1621890000000
180,2021-05-26 00:00:00,38324.72,40841.0,37800.44,39241.91,104780.773396,4113717505.2635546,2432319,50485.076994,1983423341.5599248,1621976400000
181,2021-05-27 00:00:00,39241.92,40411.14,37134.27,38529.98,86547.158794,3361413526.0535436,2102182,42256.012801,1641681553.5291371,1622062800000
182,2021-05-28 00:00:00,38529.99,38877.83,34684.0,35663.49,135377.62972,4926260941.933614,2659178,64327.281853,2341060689.073459,1622149200000
183,2021-05-29 00:00:00,35661.79,37338.58,33632.76,34605.15,112663.092689,3949843335.322595,2169643,54284.199652,1904345668.7790062,1622235600000
184,2021-05-30 00:00:00,34605.15,36488.0,33379.0,35641.27,73535.386967,2601994948.148242,1559892,37406.813903,1324617922.554574,1622322000000
185,2021-05-31 00:00:00,35641.26,37499.0,34153.84,37253.81,94160.735289,3406047734.8311286,1896359,46337.932504,1677796724.0573616,1622408400000
186,2021-06-01 00:00:00,37253.82,37894.81,35666.0,36693.09,81234.66377,2973928300.375587,1760417,40291.834851,1475008291.2336473,1622494800000
187,2021-06-02 00:00:00,36694.85,38225.0,35920.0,37568.68,67587.372495,2523462575.6884375,1530915,34328.496287,1281854474.9120827,1622581200000
188,2021-06-03 00:00:00,37568.68,39476.0,37170.0,39246.79,75889.106011,2930945325.709207,1949658,38664.297849,1493504667.613802,1622667600000
189,2021-06-04 00:00:00,39246.78,39289.07,35555.15,36829.0,91317.799245,3379399754.9305224,1926311,43105.97173,1595098152.9668267,1622754000000
